Gen_ID,Date,Sex,Length,Location,Phen_num,q,big_Q,q_ci_width,Q_ci_width
EGM2018_2025,NA,NA,NA,YNP,NA,0.992925124819251,0.0141146681773551,0.0025282796821557,0.00505519560538232
EGM2018_2037,NA,NA,NA,YNP,NA,0.998903955275985,0.00217023176977988,0.00151954260363709,0.00303626019449439
EGM2018_2040,NA,NA,NA,YNP,NA,0.996739777864396,0.00647654329876191,0.00171322653768584,0.00340701229870319
EGM2018_2042,NA,NA,NA,YNP,NA,0.994419695824042,0.0111428092569434,0.00211338535882533,0.00422276842873543
EGM2018_2183,NA,NA,NA,YNP,NA,0.99081199982043,0.0181239448054212,0.00236425285693258,0.00468772258609533
EGM2018_2335,NA,NA,NA,YNP,NA,0.999978790526417,2.40633079651798e-05,0.00015057628403809,0.000224626527415235
EGM2018_2336,NA,NA,NA,YNP,NA,0.999973245722124,3.29680061229091e-05,0.000182061233094961,0.000292535551125178
EGM2018_2337,NA,NA,NA,YNP,NA,0.99953458988461,0.000906184938662882,0.00101007192833151,0.00199667753205968
EGM2018_2338,NA,NA,NA,YNP,NA,0.999975886971786,2.91703842422557e-05,0.000164016107161878,0.000251453783857866
EGM2018_2339,NA,NA,NA,YNP,NA,0.999967435375712,1.79150998889346e-05,0.000177934249655104,0.000159952063040689
EGM2018_2340,NA,NA,NA,YNP,NA,0.999706368148327,0.000553856141131497,0.000779788696013672,0.00152005759851592
EGM2018_2341,NA,NA,NA,YNP,NA,0.996971805602655,0.00603833132217392,0.00167891004239209,0.00335901662474498
EGM2018_2342,NA,NA,NA,YNP,NA,0.999978486693453,2.29609711222261e-05,0.000150444993511621,0.000209528523555485
EGM2018_2343,NA,NA,NA,YNP,NA,0.999988178120947,9.70329077810859e-06,8.42105895272471e-05,9.10619852220393e-05
EGM2018_2345,NA,NA,NA,YNP,NA,0.999982983031492,1.7200082581354e-05,0.000119380569010701,0.000159508135766371
EGM2018_2346,NA,NA,NA,YNP,NA,0.999925584395727,3.09800447631929e-05,0.000282990752286943,0.000275210401014187
EGM2018_2347,NA,NA,NA,YNP,NA,0.999982774370703,1.64841452378819e-05,0.000117987530872098,0.000149048230377954
EGM2018_2348,NA,NA,NA,YNP,NA,0.999986682006683,1.30444219332217e-05,9.12484190214724e-05,0.000116556946704803
EGM2018_2349,NA,NA,NA,YNP,NA,0.999986882137841,1.13607589604824e-05,8.94617725645437e-05,0.000101344439644887
EGM2018_2350,NA,NA,NA,YNP,NA,0.999973801436095,3.55818658764799e-05,0.000178349292534913,0.000303483196330485
EGM2018_2351,NA,NA,NA,YNP,NA,0.999985949794451,1.1746640064315e-05,0.000100352005503789,0.000108363403705879
EGM2018_2352,NA,NA,NA,YNP,NA,0.999980786607183,1.74493951095371e-05,0.000136595821018403,0.000164553049035019
EGM2018_2353,NA,NA,NA,YNP,NA,0.999988266685228,9.58382000959855e-06,8.19523623452064e-05,8.92954152732259e-05
EGM2018_2354,NA,NA,NA,YNP,NA,0.999970740991077,3.92106437467756e-05,0.000193856437874103,0.000338860334886697
EGM2018_2359,NA,NA,NA,YNP,NA,0.999984326252992,1.45413134583247e-05,0.00010853199514304,0.000136104283592429
EGM2018_2360,NA,NA,NA,YNP,NA,0.999987408936709,1.03465878023783e-05,8.95112166931636e-05,9.75235061559915e-05
EGM2018_2361,NA,NA,NA,YNP,NA,0.99998708637624,1.24206454659465e-05,8.95854116654353e-05,0.000111241490048995
EGM2018_2362,NA,NA,NA,YNP,NA,0.999987885612866,1.00590895467473e-05,8.50767340186975e-05,9.29135470869349e-05
EGM2018_2364,NA,NA,NA,YNP,NA,0.999986622504804,1.19872337551234e-05,9.52899707729678e-05,0.000114626971117103
EGM2018_2365,NA,NA,NA,YNP,NA,0.999987899428126,1.0218559623252e-05,8.44993061110744e-05,9.47543603615473e-05
EGM2018_2366,NA,NA,NA,YNP,NA,0.999951062969778,7.346579970854e-05,0.000310105231243861,0.000577246524335332
